,Stock Symbol,Period Type,Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,Notes Receivable,Other Current Receivables,Total Receivables,"Inventories, Raw Materials & Components","Inventories, Work In Process","Inventories, Inventories Adjustments","Inventories, Finished Goods","Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Current Payables,Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Debt Ratio,Long Term Funds To Fixed Assets
0,LUV,A,Dec14,26.73,4.11,2.76,1.64,1.64,2.84,1.54,4.17,0.22,10.03,8.06,4.27,42.32,16.10,3.82,5.82,13.89,20.36,5.57,3.75,58.74,11.96,6.11,5.77,0.43,0.34,0.15,55.94,0.95,0.13,0.00,5.85,19.23,13.38,18.98,0.41,0.02,18605.00,7677.00,10928.00,5434.00,0.00,0.00,3269.00,2225.00,7.00,-107.00,-100.00,-309.00,0.00,1816.00,-680.00,37.44,1136.00,0.00,1136.00,0.00,1.65,1.64,696.00,938.00,2861.00,1282.00,1706.00,2988.00,0.00,0.00,365.00,365.00,0.00,0.00,0.00,0.00,342.00,342.00,232.00,3927.00,35.00,0.00,0.00,2853.00,0.00,22513.00,-8221.00,14292.00,1333.00,970.00,136.00,19723.00,123.00,244.00,917.00,1484.00,2768.00,258.00,0.00,0.00,0.00,2897.00,5923.00,2434.00,193.00,2627.00,169.00,3009.00,0.00,1220.00,12948.00,808.00,0.00,7416.00,-738.00,1315.00,-2026.00,6775.00,0.00,1136.00,54.00,0.00,0.00,36.00,558.00,501.00,0.00,0.00,-231.00,2902.00,-80.00,0.00,0.00,0.00,-3080.00,3185.00,0.00,0.00,-1752.00,-1727.00,0.00,-955.00,0.00,-272.00,-139.00,118.00,-1248.00,-73.00,-1828.00,1074.00,25.80,14.90,4.22,5.25,27.48,10.15,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.61,20.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.64
1,LUV,A,Dec15,29.63,6.85,5.34,3.27,3.27,4.06,1.64,4.84,0.29,11.36,9.15,4.91,43.06,30.86,8.14,10.63,23.88,36.45,9.29,2.97,69.60,20.77,11.00,5.52,0.43,0.35,0.15,67.24,0.97,0.09,0.00,10.78,19.78,9.00,18.45,0.30,0.02,19820.00,6025.00,13795.00,6383.00,0.00,0.00,3296.00,4116.00,9.00,-90.00,-81.00,-556.00,0.00,3479.00,-1298.00,37.31,2181.00,0.00,2181.00,0.00,3.30,3.27,669.00,1015.00,4584.00,1583.00,1468.00,3051.00,0.00,0.00,474.00,474.00,0.00,0.00,0.00,0.00,311.00,311.00,188.00,4024.00,0.00,0.00,0.00,3219.00,915.00,24685.00,-9084.00,15601.00,1434.00,970.00,253.00,21312.00,178.00,241.00,831.00,2529.00,3779.00,637.00,0.00,0.00,0.00,2990.00,7406.00,2541.00,0.00,2541.00,0.00,2490.00,0.00,1517.00,13954.00,808.00,0.00,9409.00,-1051.00,1374.00,-3182.00,7358.00,0.00,2181.00,-88.00,0.00,0.00,961.00,1070.00,-109.00,0.00,0.00,-919.00,3238.00,-102.00,0.00,0.00,0.00,-1986.00,2223.00,0.00,0.00,-2048.00,-1913.00,46.00,-1180.00,0.00,287.00,-180.00,49.00,-1024.00,301.00,-2143.00,1095.00,13.17,10.61,3.79,4.71,26.26,8.90,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.50,45.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.63
2,LUV,A,Dec16,32.27,7.65,5.72,3.55,3.55,3.95,3.39,6.78,0.38,13.72,11.45,5.51,49.84,28.41,7.83,10.06,22.19,29.72,7.77,2.28,69.98,18.41,10.99,10.51,0.40,0.36,0.15,64.10,0.92,0.11,0.00,8.21,19.29,11.08,18.93,0.30,0.02,20425.00,6132.00,14293.00,6798.00,0.00,0.00,3735.00,3760.00,24.00,-75.00,-51.00,-162.00,0.00,3547.00,-1303.00,36.74,2244.00,0.00,2244.00,0.00,3.58,3.55,633.00,1221.00,4843.00,1680.00,1625.00,3305.00,0.00,0.00,546.00,546.00,0.00,0.00,0.00,0.00,337.00,337.00,310.00,4498.00,0.00,0.00,0.00,0.00,0.00,26464.00,-9420.00,17044.00,1396.00,970.00,348.00,23286.00,138.00,184.00,856.00,1985.00,3163.00,566.00,0.00,0.00,0.00,3115.00,6844.00,2821.00,0.00,2821.00,256.00,3578.00,0.00,1346.00,14845.00,808.00,0.00,11418.00,-323.00,1410.00,-4872.00,8441.00,0.00,2244.00,-50.00,0.00,0.00,226.00,182.00,455.00,0.00,0.00,191.00,4293.00,-109.00,0.00,0.00,0.00,-2388.00,2263.00,0.00,0.00,-2038.00,-2272.00,0.00,-1750.00,0.00,-76.00,-222.00,124.00,-1924.00,97.00,-2147.00,2146.00,14.04,12.62,3.63,4.35,14.70,7.35,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.61,50.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.66
3,LUV,A,Dec17,35.11,7.52,5.50,5.79,5.79,3.17,2.79,6.52,0.45,17.58,15.25,6.18,65.45,36.97,9.94,14.41,18.64,38.98,8.58,1.84,69.62,16.60,16.48,7.94,0.35,0.42,0.15,60.91,0.88,0.08,0.00,10.56,21.48,10.92,16.99,0.30,0.02,21171.00,6431.00,14740.00,7319.00,0.00,0.00,3906.00,3515.00,35.00,-65.00,-30.00,-234.00,0.00,3251.00,237.00,-7.29,3488.00,0.00,3488.00,0.00,5.80,5.79,603.00,1218.00,4534.00,1495.00,1778.00,3273.00,0.00,0.00,662.00,662.00,0.00,0.00,0.00,0.00,420.00,420.00,460.00,4815.00,0.00,0.00,0.00,4399.00,1543.00,28229.00,-9690.00,18539.00,1383.00,970.00,373.00,25110.00,186.00,203.00,931.00,1777.00,3097.00,348.00,0.00,0.00,0.00,3460.00,6905.00,3320.00,0.00,3320.00,275.00,2595.00,0.00,1585.00,14680.00,808.00,0.00,14621.00,12.00,1451.00,-6462.00,10430.00,0.00,3488.00,-102.00,0.00,0.00,246.00,227.00,-1212.00,0.00,0.00,208.00,3929.00,-126.00,0.00,0.00,0.00,-2380.00,2221.00,0.00,0.00,-2123.00,-2408.00,0.00,-1600.00,0.00,8.00,-274.00,160.00,-1706.00,-185.00,-2249.00,1680.00,11.30,20.65,3.72,4.29,23.46,10.04,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.64,54.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.74
4,LUV,A,TTM,35.14,7.53,5.51,5.79,5.79,3.17,2.76,6.49,0.45,17.58,15.25,6.18,57.00,39.27,12.08,14.49,18.69,41.69,9.39,1.94,69.63,16.60,16.47,7.94,0.35,0.42,0.15,61.26,0.88,0.08,0.00,10.56,21.75,11.19,16.78,0.30,0.02,21172.00,6430.00,14742.00,7319.00,0.00,0.00,3908.00,3515.00,35.00,-64.00,-29.00,-234.00,0.00,3252.00,236.00,-7.26,3488.00,0.00,3488.00,0.00,5.80,5.79,594.00,1218.00,4534.00,1495.00,1778.00,3273.00,0.00,0.00,662.00,662.00,0.00,0.00,0.00,0.00,420.00,420.00,460.00,4815.00,0.00,0.00,0.00,4399.00,1543.00,28229.00,-9690.00,18539.00,1383.00,970.00,373.00,25110.00,186.00,203.00,931.00,1777.00,3097.00,348.00,0.00,0.00,0.00,3460.00,6905.00,3320.00,94.00,3320.00,275.00,2595.00,0.00,1585.00,14680.00,808.00,0.00,14621.00,12.00,1451.00,-6462.00,10430.00,0.00,3488.00,-102.00,0.00,0.00,246.00,228.00,-1212.00,0.00,0.00,208.00,3930.00,-126.00,0.00,0.00,0.00,-2380.00,2220.00,0.00,0.00,-2123.00,-2409.00,0.00,-1600.00,0.00,8.00,-274.00,160.00,-1706.00,-185.00,-2249.00,1681.00,9.84,17.98,3.24,3.74,20.65,8.78,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.64,54.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.74
5,LUV,Q,Dec16,8.21,1.85,1.34,0.85,0.85,3.95,-0.01,1.15,0.10,13.72,11.45,5.51,49.84,25.33,6.98,9.01,19.65,26.56,7.77,1.92,69.60,16.65,10.29,-0.08,0.40,0.36,0.15,60.99,0.22,0.12,0.00,8.16,19.75,11.59,4.62,0.30,0.07,5075.00,1543.00,3532.00,1709.00,0.00,0.00,978.00,845.00,7.00,-16.00,-9.00,-27.00,0.00,809.00,-287.00,35.48,522.00,0.00,522.00,0.00,0.85,0.85,618.00,318.00,1143.00,1680.00,1625.00,3305.00,0.00,0.00,546.00,546.00,0.00,0.00,0.00,0.00,337.00,337.00,310.00,4498.00,0.00,0.00,0.00,0.00,0.00,26464.00,-9420.00,17044.00,1396.00,970.00,348.00,23286.00,138.00,184.00,856.00,1985.00,3163.00,566.00,0.00,0.00,0.00,3115.00,6844.00,2821.00,0.00,2821.00,256.00,3578.00,0.00,1346.00,14845.00,808.00,0.00,11418.00,-323.00,1410.00,-4872.00,8441.00,0.00,522.00,305.00,0.00,0.00,-46.00,-360.00,60.00,0.00,0.00,169.00,709.00,-39.00,0.00,0.00,0.00,-718.00,592.00,0.00,0.00,-674.00,-839.00,0.00,-300.00,0.00,95.00,0.00,49.00,-156.00,-286.00,-713.00,-4.00,0.00,12.62,3.63,4.35,-4984.00,43.34,6.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.61,52.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.66
6,LUV,Q,Mar17,7.95,1.45,0.93,0.57,0.57,3.53,1.89,2.65,0.10,13.57,11.27,5.07,53.76,16.87,4.26,5.97,13.31,20.48,8.99,2.23,68.63,13.48,7.19,23.80,0.37,0.35,0.13,56.98,0.21,0.18,0.00,10.78,20.64,9.86,4.42,0.31,0.07,4883.00,1532.00,3351.00,1733.00,0.00,0.00,960.00,658.00,7.00,-18.00,-11.00,-94.00,0.00,553.00,-202.00,36.53,351.00,0.00,351.00,0.00,0.57,0.57,614.00,318.00,889.00,1851.00,1631.00,3482.00,0.00,0.00,585.00,585.00,0.00,0.00,0.00,0.00,356.00,356.00,235.00,4658.00,0.00,0.00,0.00,3908.00,1319.00,26783.00,-9497.00,17286.00,1393.00,970.00,426.00,23763.00,181.00,425.00,753.00,1802.00,3161.00,285.00,0.00,0.00,0.00,4012.00,7458.00,2781.00,0.00,2781.00,261.00,3637.00,0.00,1422.00,15559.00,808.00,0.00,11708.00,-312.00,1419.00,-5419.00,8204.00,0.00,351.00,-35.00,0.00,0.00,93.00,874.00,62.00,0.00,0.00,20.00,1625.00,-49.00,0.00,0.00,0.00,-563.00,556.00,0.00,0.00,-414.00,-470.00,0.00,-550.00,0.00,-369.00,-123.00,58.00,-984.00,171.00,-463.00,1162.00,0.00,15.23,3.96,4.77,28.44,20.29,6.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.58,36.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.64
